tt1091722,Adventureland
tt0399295,Lord of War
tt0097778,Look Who's Talking
tt0151804,Office Space
tt2226417,Insidious: Chapter 2
tt0065421,The AristoCats
tt0061852,The Jungle Book
tt1596343,Fast & Furious 5
tt1583421,G.I. Joe: Retaliation
tt0120794,The Prince of Egypt
tt0120630,Chicken Run
tt0327597,Coraline
tt1582507,House at the End of the Street
tt1341167,Four Lions
tt1131729,The Boat That Rocked
tt2194499,About Time
tt2820852,Fast & Furious 7
tt1855199,End of Watch
tt1981677,Pitch Perfect
tt0455967,John Tucker Must Die
tt0298130,The Ring
tt1055369,Transformers: Revenge of the Fallen
tt1013752,Fast & Furious
tt0295701,xXx
tt0372183,The Bourne Supremacy
tt0268126,Adaptation.
tt1798709,Her
tt0107688,The Nightmare Before Christmas
tt0092991,Evil Dead II
tt0349205,Cheaper by the Dozen
tt0356470,A Cinderella Story
tt0081398,Raging Bull
tt0122690,Ronin
tt1650554,Kick-Ass 2
tt0295700,Wrong Turn
tt0204946,Bring It On
tt1226229,Get Him to the Greek
tt1482459,The Lorax
tt0451079,Horton Hears a Who!
tt0070608,Robin Hood
tt0357413,Anchorman: The Legend of Ron Burgundy
tt1667889,Ice Age: Continental Drift
tt1080016,Ice Age: Dawn of the Dinosaurs
tt0387808,Idiocracy
tt1385867,Cop Out
tt0261392,Jay and Silent Bob Strike Back
tt0109445,Clerks
tt0424345,Clerks II
tt0120655,Dogma
tt0096928,Bill & Ted's Excellent Adventure
tt0143145,The World Is Not Enough
tt1598778,Contagion
tt1800246,That Awkward Moment
tt1706593,Chronicle
tt1285016,The Social Network
tt0104257,A Few Good Men
tt1840309,Divergent
tt1716772,The Inbetweeners Movie
tt0207201,What Women Want
tt0457939,The Holiday
tt0337741,Something's Gotta Give
tt0360486,Constantine
tt0450259,Blood Diamond
tt0399201,The Island
tt1045772,I Love You Phillip Morris
tt1758830,This Is 40
tt1204342,The Muppets
tt0432283,Fantastic Mr. Fox
tt2278388,The Grand Budapest Hotel
tt0071807,The Man with the Golden Gun
tt0117951,Trainspotting
tt0113243,Hackers
tt0272152,K-PAX
tt2229499,Don Jon
tt0443272,Lincoln
tt0101272,The Addams Family
tt0265666,The Royal Tenenbaums
tt0838221,The Darjeeling Limited
tt0109040,Ace Ventura: Pet Detective
tt0151738,Never Been Kissed
tt0172156,Bad Boys II
tt0892791,Shrek Forever After
tt0105793,Wayne's World
tt0106677,Dazed and Confused
tt1065073,Boyhood
tt0369702,The Sea Inside
tt0287467,Talk to Her
tt0125659,Open Your Eyes
tt0978764,Sucker Punch
tt2101441,Spring Breakers
tt0889583,Brüno
tt0340855,Monster
tt1632708,Friends with Benefits
tt2132285,The Bling Ring
tt0817177,Flipped
tt0087928,Police Academy
tt0101921,Fried Green Tomatoes at the Whistle Stop Cafe
tt1034331,Righteous Kill
tt0970866,Little Fockers
tt0137523,Fight Club
tt1182345,Moon
tt1216492,Leap Year
tt0416320,Match Point
tt0286499,Bend It Like Beckham
tt0780536,In Bruges
tt0112573,Braveheart
tt0079116,Escape from Alcatraz
tt0455590,The Last King of Scotland
tt0120902,The X Files
tt1197624,Law Abiding Citizen
tt0101507,Boyz n the Hood
tt0162650,Shaft
tt0454841,The Hills Have Eyes
tt0094737,Big
tt0087843,Once Upon a Time in America
tt0208092,Snatch.
tt0073629,The Rocky Horror Picture Show
tt0116583,The Hunchback of Notre Dame
tt0103639,Aladdin
tt1428538,Hansel & Gretel: Witch Hunters
tt0473075,Prince of Persia: The Sands of Time
tt1670345,Now You See Me
